Order,Chart,Row,Artist,Album,Date Finished,Primary Genre,Specific Genre,Average Rating,Ratings by Listen,,,,,,,,,,,,,,,
1,1,1,Animal Collective,Merriweather Post-Pavillion,1/1/2017,Indie,Indie Rock,4,4,,,,,,,,,,,,,,,
2,1,1,Animal Collective,Strawberry Jam,1/1/2017,Indie,Indie Rock,2,2,,,,,,,,,,,,,,,
3,1,1,The Antlers,Hospice,1/1/2017,Indie,Indie Rock,6.333333333,4,7,8,,,,,,,,,,,,,
4,1,1,Arcade Fire,Funeral,1/1/2017,Indie,Indie Rock,7,7,,,,,,,,,,,,,,,
5,1,1,Beach House,Bloom,1/1/2017,Indie,Indie Pop,N/A,,,,,,,,,,,,,,,,
6,1,1,Bon Iver,"For Emma, Forever Ago",1/1/2017,Indie,Indie Folk,10,10,,,,,,,,,,,,,,,
7,1,1,Death Cab For Cutie,Transatlanticism,1/1/2017,Indie,Indie Rock,6.5,5,8,,,,,,,,,,,,,,
8,1,1,The Flaming Lips,Yoshimi Battles the Pink Robots,1/1/2017,Indie,Indie Rock,6,5,7,,,,,,,,,,,,,,
9,1,1,Fleet Foxes,Fleet Foxes,1/1/2017,Indie,Indie Folk,5,5,,,,,,,,,,,,,,,
10,1,1,Grizzly Bear,Veckatimest,1/1/2017,Indie,Indie Rock,6,6,,,,,,,,,,,,,,,
11,1,1,Interpol,Turn On The Bright Light,1/1/2017,Indie,Indie Rock,5,5,,,,,,,,,,,,,,,
12,1,1,MGMT,Oracular Spectacular,1/1/2017,Indie,Indietronica,7,7,,,,,,,,,,,,,,,
13,1,2,The Microphones,The Glow Pt II,1/1/2017,Indie,Avant-folk,5,5,,,,,,,,,,,,,,,
14,1,2,Modest Mouse,The Moon and Antartica,1/1/2017,Indie,Indie Rock,7,7,,,,,,,,,,,,,,,
15,1,2,Panda Bear,Person Pitch,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
16,1,2,St Vincent,Actor,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
17,1,2,Sufjan Stevens,Illnois,1/1/2017,Indie,Indie Folk,6,6,,,,,,,,,,,,,,,
18,1,2,Tame Impala,Lonerism,1/1/2017,Indie,Neo-psych,5,5,,,,,,,,,,,,,,,
19,1,2,The Strokes,Is This It?,1/1/2017,Indie,Garage Revival,8,8,,,,,,,,,,,,,,,
20,1,2,The White Stripes,Elephant,1/1/2017,Indie,Garage Revival,6,6,,,,,,,,,,,,,,,
21,1,2,The XX,XX,1/1/2017,Indie,Indie Pop,6.5,6.5,,,,,,,,,,,,,,,
22,1,2,Wilco,Yankee Hotel Foxtrot,1/1/2017,Indie,Indie Rock,6.5,5,8,,,,,,,,,,,,,,
23,1,2,Beiruit,Gulag Orkestra,1/1/2017,Indie,Indie Folk,5,5,,,,,,,,,,,,,,,
24,1,2,Jonsi,Go,1/1/2017,Indie,Post Rock,7,7,,,,,,,,,,,,,,,
25,1,3,M83,Digital Shades Vol 1,1/1/2017,Electronic,Ambient,3,3,,,,,,,,,,,,,,,
26,1,3,Delorean,Subiza,1/1/2017,Electronic,Alt Dance,N/A,,,,,,,,,,,,,,,,
27,1,3,The Decemberists,5 Songs,1/1/2017,Indie,Indie Folk,N/A,,,,,,,,,,,,,,,,
28,1,3,Orchestral Manoeuvres in the Dark,Dazzle Ships,1/1/2017,Electronic,New Wave,N/A,,,,,,,,,,,,,,,,
29,1,3,The Get Up Kids,Something to Write Home About,1/1/2017,Rock,Emo,N/A,,,,,,,,,,,,,,,,
30,1,3,Turnover,Peripherial Vision,1/1/2017,Rock,Emo,N/A,,,,,,,,,,,,,,,,
31,1,3,Car Seat Headrest,Teens of Denial,1/1/2017,Indie,Indie Rock,7,7,,,,,,,,,,,,,,,
32,1,3,Flatsound,"scotland, i wish you had stayed",1/1/2017,Indie,Garage Lo-Fi,N/A,,,,,,,,,,,,,,,,
33,1,3,Car Seat Headrest,Twin Fantasy,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
34,1,3,Built to Spill,Ancient Melodies of the Future,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
35,1,3,La Dispute,"Here, Hear III",1/1/2017,Experimental,Spoken Word,N/A,,,,,,,,,,,,,,,,
36,1,3,I See Stars,Treehouse,1/1/2017,Electronic,Electronicore,N/A,,,,,,,,,,,,,,,,
37,1,4,???????,2 8 1 4,1/1/2017,Electronic,Vaporwave,5,5,,,,,,,,,,,,,,,
38,1,4,nmesh,Dream Sequins,1/1/2017,Electronic,Vaporwave,N/A,,,,,,,,,,,,,,,,
39,1,4,ESPRIT ??,virtua.zip,1/1/2017,Electronic,Vaporwave,6,6,,,,,,,,,,,,,,,
40,1,4,No Joy,Wait to Pleasure,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
41,1,4,Nothing,Guilty of Everything,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
42,1,4,Alcest,Kodama,1/1/2017,Rock,Blackgaze,N/A,,,,,,,,,,,,,,,,
43,1,4,Nothing,Tired of Tomorrow,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
44,1,4,A.C. Newman,The Slow Wonder,1/1/2017,Indie,Indie Rock,6.5,6.5,,,,,,,,,,,,,,,
45,1,4,Various Artists,3...2...1...A Rocket Girl Compilation,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
46,1,4,Bombay Bicycle Club,I Had the Blues But Then I Shook Them Loose,1/1/2017,Rock,Indie Rock,6.333333333,4,7,8,,,,,,,,,,,,,
47,1,4,In Love With A Ghost,Let's Go,1/1/2017,Electronic,Vaporwave,N/A,,,,,,,,,,,,,,,,
48,1,4,In Love With A Ghost,Ghost,1/1/2017,Electronic,Vaporwave,N/A,,,,,,,,,,,,,,,,
49,1,5,In Love With A Ghost,Diary // 2012-2014,1/1/2017,Electronic,Vaporwave,N/A,,,,,,,,,,,,,,,,
50,1,5,Everything Everything,Get to Heaven,1/1/2017,Indie,Alternative Rock/Indie Rock,7,7,,,,,,,,,,,,,,,
51,1,5,Bon Iver,"22, A Million",1/1/2017,Pop,Folktronica,4,4,,,,,,,,,,,,,,,
52,1,5,Bon Iver,Bon Iver,1/1/2017,Indie,Indie Folk,5,5,,,,,,,,,,,,,,,
53,1,5,Coldplay,The Blue Room - EP,1/1/2017,Rock,Alternative Rock,N/A,,,,,,,,,,,,,,,,
54,1,5,The National,Cherry Tree - EP,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
55,1,5,Boards of Canada,In a Beautiful Place Out in the Country - EP,1/1/2017,Electronic,Vaporwave,5,5,,,,,,,,,,,,,,,
56,1,5,Parkay Quarts,Tally All the Things That You Broke - EP,1/1/2017,Rock,Garage Rock,N/A,,,,,,,,,,,,,,,,
57,1,5,Janelle Mon�e,Metropolis - EP,1/1/2017,Pop,Pop Soul,N/A,,,,,,,,,,,,,,,,
58,1,5,Sufjan Stevens,All Delighted People - EP,1/1/2017,Indie,Indie Folk,N/A,,,,,,,,,,,,,,,,
59,1,5,Bright Eyes,There Is No Beginning to the Story,1/1/2017,Indie,Indie Emo,N/A,,,,,,,,,,,,,,,,
60,1,5,Arctic Monkeys,Who The Fuck Are The Arctic Monkeys - EP,1/1/2017,Rock,Garage Rock,N/A,,,,,,,,,,,,,,,,
61,1,6,Andrew Jihad Jackson,People Who Can Eat People Are The Luckiest People In The World,1/1/2017,Folk,Folk Punk,N/A,,,,,,,,,,,,,,,,
62,1,6,Crywank,Tomorrow Is Nearly Yesterday and Everyday Is Stupid,1/1/2017,Folk,Folk Punk,N/A,,,,,,,,,,,,,,,,
63,1,6,Camp Cope,Camp Cope,1/1/2017,Rock,Alternative Rock,N/A,,,,,,,,,,,,,,,,
64,1,6,Chris Farren,Can't Die,1/1/2017,Pop,Pop Rock,N/A,,,,,,,,,,,,,,,,
65,1,6,The Elwins,And I Thank You,1/1/2017,Pop,Pop Rock,N/A,,,,,,,,,,,,,,,,
66,1,6,The Elwins,Play For Keeps,1/1/2017,Pop,Pop Rock,N/A,,,,,,,,,,,,,,,,
67,1,6,Whirr,Pipe Dreams,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
68,1,6,Traveling Wilburies,Volume 1,1/1/2017,Rock,Classic Rock,N/A,,,,,,,,,,,,,,,,
69,1,6,Lush,Lovelife,1/1/2017,Rock,Britpop,N/A,,,,,,,,,,,,,,,,
70,1,6,Bon Voyage,L'Imposture,1/1/2017,Electronic,Shoegaze,N/A,,,,,,,,,,,,,,,,
71,1,6,Starflyer 59,The Changing of the Guard,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
72,1,6,Ovlov,Am,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
73,1,7,LSD and the Search for God,LSD and the Search for God,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
74,1,7,Soulvaki,Slowdive,1/1/2017,Rock,Shoegaze,N/A,,,,,,,,,,,,,,,,
75,1,7,My Bloody Valentine,Loveless,1/1/2017,Rock,Shoegaze,6.5,4,6,8,8,,,,,,,,,,,,
76,1,7,The National,The National,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
77,1,7,The National,Alligator,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
