Artist,Album,Primary Genre,Specific Genre
Alabama Shakes,Sound and Color,Rock,Blues Rock
Alabama Shakes,Boys and Girls,Rock,Blues Rock
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Rock,Post-Punk Revival/Garage Rock/Indie Rock/Brit Rock
Ben Folds,So There,Pop,Chamber Pop
Broken Bells,Broken Bells,Rock,Indie Rock/Space Rock/Alternative Rock
Broken Bells,After the Disco,Rock,Indie Rock/Space Rock
Capital Cities,In A Tidal Wave of Mystery,Electronic,Electropop/Dance Pop/Electronica
Catfish and the Bottlemen,The Balcony,Rock,Indie Rock/Alternative Rock
Catfish and the Bottlemen,The Ride,Rock,Indie Rock/Alternative Rock
Childish Gambino,Freaks and Geeks EP,Rap,
Childish Gambino,Cul De Sac,Rap,
Childish Gambino,Camp,Rap,
Coldplay,Viva La Vida or Death and All His Friends,Rock,Alternative Rock/Pop Rock/Brit Rock
Coldplay,Prospekt's March EP,Rock,Alternative Rock/Pop Rock/Brit Rock
Coldplay,Parachutes,Rock,Alternative Rock/Pop Rock/Brit Rock
Crystal Fighters,Cave Rave,Rock,Alternative Dance/Folktronica
Crystal Fighters,Star of Love,Rock,Alternative Dance/Folktronica
David Bowie,The Rise and Fall of Ziggy Stardust and The Spiders From Mars,Rock,Glam Rock
Death Cab for Cutie,Plans,Indie,Indie Pop/Indie Rock/Alternative Rock
Death Cab for Cutie,Narrow Stairs,Indie,Indie Rock/Alternative Rock
Fall Out Boy,From Under the Cork Tree,Rock,Pop Punk/Emo
Fitz and the Tantrums,Pickin' Up The Pieces,Pop,Soul/Pop
Fitz and the Tantrums,More Than Just A Dream,Pop,Neo Soul/Indie Pop
Foo Fighters,Wasting Light,Rock,Post Grunge/Hard Rock/Alternative Rock
fun.,Some Nights,Pop,Indie Pop/Rock
fun.,Aim and Ignite,Pop,Baroque Pop/Indie Pop
Gavin DeGraw,Chariot,Pop,Pop Rock/Soul
Gnarles Barkley,St. Elsewhere,R&B,
Gorillaz,Demon Days,Pop,Alternative Rock/Hip Hop/Trip Hop
Grouplove,Never Trust A Happy Song,Rock,Indie Pop/Indie Rock
Grouplove,Spreading Rumors,Rock,Alternative Rock/Indie Rock/Synthpop
Grouplove,Big Mess,Rock,Alternative Rock/Pop Rock/Electronic Rock
Grouplove,Grouplove EP,Rock,Indie Rock
Joywave,How Do You Feel Now,Rock,Indie Rock/Indie Pop/Indietronica
Justin Timberlake,FutureSex/LoveSounds,Pop,Art Pop/Electro-R&B
Keane,Under the Iron Sea,Rock,Brit Pop/Alternative Rock
Keane,Hopes and Fears,Rock,Brit Pop/Alternative Rock
LCD Soundsystem,Sounds of Silver,Electronic,Dance Punk/Electronica/Electronic Rock
Lil Dicky,So Hard,Rap,Comedy Rap
Lil Dicky,Hump Days,Rap,Comedy Rap
Lil Dicky,Professional Rapper,Rap,Comedy Rap
M83,"Hurry Up, We're Dreaming",Electronic,Synth-pop/Ambient
Maroon 5,Songs About Jane,Pop,Blue-Eyed Soul/Pop Rock
Matt and Kim,Grand,Pop,Indie Rock/Indie Pop/Dance Pop
Matt and Kim,Sidewalks,Pop,Indie Rock/Indie Pop/Dance Pop
Matt and Kim,Lightning,Pop,Indie Rock/Indie Pop/Dance Pop
Matt and Kim,New Glow,Pop,Indie Rock/Indie Pop/Dance Pop
Matt and Kim,WE WERE THE WEIRDOS EP,Pop,Indie Rock/Indie Pop/Dance Pop
Maximo Park,Our Earthly Pleasures,Rock,Brit Rock/Alternative Rock/Post-Punk Revival
Modest Mouse,Good News For People Who Love Bad News,Rock,Alternative Rock/Indie Rock/Art Rock
Neil Cicierega,Mouth Silence,Misc,Mashup
Neil Cicierega,Mouth Sounds,Misc,Mashup
OK Go,Hungry Ghosts,Rock,Electronic Rock/Power Pop
OK Go,Oh No,Rock,Electronic Rock/Power Pop
OK Go,Of The Blue Colour of the Sky,Rock,Electronic Rock/Power Pop/Psychedelic Rock
Panic! At The Disco,A Fever You Can't Sweat Out,Pop,Pop Punk/Emo/Alternative Rock/Baroque Pop
Panic! At The Disco,Pretty. Odd.,Pop,Psychedelic Pop/Baroque Rock/Pop Rock
Passion Pit,Chunk of Change EP,Pop,Electropop/Synth-pop/Indie Pop
Passion Pit,Manners,Pop,Electropop/Synth-pop/Indie Pop
Passion Pit,Gossamer,Pop,Synth-pop/Indie Pop
Passion Pit,Kindred,Pop,Synth-pop/Indie Pop/Alternative Dance
Phoenix,Bankrupt!,Rock,Indie Pop/Synth-pop/Electropop/Indie Rock
Phoenix,Alphabetical,Rock,Indie Pop/Soft Rock/Indie Rock
Phoenix,United,Rock,Indie Pop/Indie Rock
Phoenix,It's Never Been Like That,Rock,Indie Pop/Garage Rock
Phoenix,Wolfgang Amadeus Phoenix,Rock,Indie Pop/Pop Rock/Synth-pop
Portugal. the Man,Evil Friends,Rock,Psychedelic Pop/Psychedelic Rock/Alternative Rock
Portugal. the Man,In the Mountain In The Clouds,Rock,Psychedelic Pop/Psychedelic Rock/Alternative Rock/Art Rock
Portugal. the Man,Satanic Satanists,Rock,Psychedelic Pop/Psychedelic Rock/Alternative Rock
Postal Service,Give Up,Indie,Indietronica/Indie Rock
Rhye,Woman,R&B,Alternative R&B/Sophisti-pop/Baroque Pop
Rogue Wave,Descended Like Vultures,Rock,Indie Rock
Rogue Wave,Nightingale Floors,Rock,Indie Rock
Rogue Wave,Asleep At Heaven's Gate,Rock,Indie Rock
Snowmine,Laminate Pet Animal,Rock,Alternative Rock/Alternative Pop
Teddybears,Devil's Music,Pop,Dance Pop/Pop Rock
Teddybears,Soft Machine,Rock,Electronic Rock
The Black Keys,El Camino,Rock,Blues Rock/Alternative Rock
The Black Keys,Brothers,Rock,Blues Rock/Alternative Rock
The Black Keys,Attack and Release,Rock,Blues Rock/Alternative Rock
The Colourists,The Colourists,Rock,Alternative Rock/Pop Rock
The Killers,Hot Fuss,Rock,Alternative Rock/Indie Rock
The Mowglis,Waiting For The Dawn,Pop,Pop Rock
The National,Boxer,Indie,Indie Rock
The Offspring,Smash,Rock,Punk Rock/Skate Rock
Third Eye Blind,Third Eye Blind,Rock,Alternative Rock/Post Grunge/Power Pop
Two Door Cinema Club,Tourist History,Rock,Alternative Rock/Indie Rock/Dance Punk
Two Door Cinema Club,Beacon,Rock,Indie Pop/Indie Rock/Alternative Rock
Two Door Cinema Club,Gameshow,Rock,Funk Rock/Dance Punk/Indie Pop/Indie Rock
Vampire Weekend,Vampire Weekend,Pop,Indie Pop/Baroque Pop/Indie Rock
Vampire Weekend,Contra,Pop,Indie Pop
Washed Out,Paracosm,Electronic,Chillwave
Washed Out ,Life of Leisure,Electronic,Chillwave
Green Day,Dookie,Rock,Punk Rock/Pop Punk/Alternative Rock
LCD Soundsystem,This Is Happening,Electronic,Dance Punk/Electronica/Art Rock
Kanye West,College Dropout,Rap,
Kanye West,Late Registration,Rap,
Kanye West,Graduation,Rap,
The Shins,Wincing the Night Away,Rock,Indie Rock/Indie Pop
The Shins,Port of Morrow,Rock,Alternative Rock
The Shins,"Oh, Inverted World",Rock,Indie Rock/Indie Pop/Psychedelic Pop
Programmar,Somaphone 6: Indied,Misc,A Capella/Cover
Joywave,77777,Misc,Mashup/Remix
Gold Panda,Lucky Shiner,Electronic,Ambient
Cage the Elephant,Cage the Elephant,Rock,Alternative Rock/Punk Blues/Garage Rock/Indie Rock
Cage the Elephant,Thank You Happy Birthday,Rock,Alternative Rock/Punk Blues/Garage Rock/Indie Rock
Cage the Elephant,Melophobia,Rock,Alternative Rock/Garage Rock/Psychedelic Rock
Cage the Elephant,Tell Me I'm Pretty,Rock,Garage Rock/Alternative Rock
Steve Miller Band,Fly Like An Eagle,Rock,Psychedelic Rock/Space Rock/Blues/Folk Rock
Illoquence,November's Deceit,Electronic,Lo-Fi Hip-Hop
Barenaked Ladies,Stunt,Rock,Alternative Rock
Jack Johnson,Inbetween Dreams,Rock,Coffeehouse Rock/Folk Rock/Acoustic Rock
Jack Johnson,On and On,Rock,Coffeehouse Rock/Folk Rock
AWOLNATION,Run,Electronic,Alternative Rock/Electronic Rock/Electropop/Synth-pop/Industrial Rock
Kelly Clarkson,Breakaway,Pop,Pop Rock
Anna Nalick,Wreck of the Day,Pop,Pop Rock
Spose,Why Am I So Happy?,Rap,
Julien Baker,Sprained Ankle,Indie,Indie Folk
Saint Motel,Voyeur,Rock,Indie Rock/Power Pop/Alternative Rock
Saint Motel,My Type EP,Pop,Indie Pop/Alternative Dance
Franz Ferdinand,Franz Ferdinand,Rock,Indie Rock/Post-Punk Revival/Dance Punk
The Bravery,The Bravery,Rock,Indie Rock/Post-Punk Revival/Dance Punk
The Fray,How To Save A Life,Rock,Alternative Rock/Pop Rock
Young the Giant,Young the Giant,Rock,Indie Rock/Alternative Rock
Young the Giant,Mind Over Matter,Rock,Indie Rock/Alternative Rock
Young the Giant,Home of the Strange,Pop,Indie Pop/Alternative Rock
Gotye,Making Mirrors,Rock,Indie Rock/Art Rock/Indie Pop/Art Pop
Foxboro Hot Tubs,Stop Drop and Roll!!!,Rock,Garage Rock
A$AP Croissant and the Gang,Souljacore,Misc,Mashup
KT Tunstall,Eye to the Telescope,Pop,Alternative Pop
